UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:30 ?        00:00:04 /sbin/init splash
root           2       0  0 16:30 ?        00:00:00 [kthreadd]
root           3       2  0 16:30 ?        00:00:00 [rcu_gp]
root           4       2  0 16:30 ?        00:00:00 [rcu_par_gp]
root           7       2  0 16:30 ?        00:00:00 [kworker/u16:0-devfreq_wq]
root           8       2  0 16:30 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 16:30 ?        00:00:00 [rcu_tasks_rude_]
root          10       2  0 16:30 ?        00:00:00 [rcu_tasks_trace]
root          11       2  0 16:30 ?        00:00:01 [ksoftirqd/0]
root          12       2  0 16:30 ?        00:00:01 [rcu_sched]
root          13       2  0 16:30 ?        00:00:00 [migration/0]
root          14       2  0 16:30 ?        00:00:00 [cpuhp/0]
root          15       2  0 16:30 ?        00:00:00 [cpuhp/1]
root          16       2  0 16:30 ?        00:00:00 [migration/1]
root          17       2  0 16:30 ?        00:00:00 [ksoftirqd/1]
root          20       2  0 16:30 ?        00:00:00 [cpuhp/2]
root          21       2  0 16:30 ?        00:00:00 [migration/2]
root          22       2  0 16:30 ?        00:00:00 [ksoftirqd/2]
root          25       2  0 16:30 ?        00:00:00 [cpuhp/3]
root          26       2  0 16:30 ?        00:00:00 [migration/3]
root          27       2  0 16:30 ?        00:00:00 [ksoftirqd/3]
root          30       2  0 16:30 ?        00:00:00 [cpuhp/4]
root          31       2  0 16:30 ?        00:00:00 [migration/4]
root          32       2  0 16:30 ?        00:00:00 [ksoftirqd/4]
root          35       2  0 16:30 ?        00:00:00 [cpuhp/5]
root          36       2  0 16:30 ?        00:00:00 [migration/5]
root          37       2  0 16:30 ?        00:00:00 [ksoftirqd/5]
root          40       2  0 16:30 ?        00:00:00 [cpuhp/6]
root          41       2  0 16:30 ?        00:00:00 [migration/6]
root          42       2  0 16:30 ?        00:00:00 [ksoftirqd/6]
root          45       2  0 16:30 ?        00:00:00 [cpuhp/7]
root          46       2  0 16:30 ?        00:00:00 [migration/7]
root          47       2  0 16:30 ?        00:00:00 [ksoftirqd/7]
root          50       2  0 16:30 ?        00:00:00 [kdevtmpfs]
root          51       2  0 16:30 ?        00:00:00 [netns]
root          55       2  0 16:30 ?        00:00:00 [kworker/2:1-events]
root          60       2  0 16:30 ?        00:00:00 [kauditd]
root          61       2  0 16:30 ?        00:00:00 [oom_reaper]
root          62       2  0 16:30 ?        00:00:00 [writeback]
root         106       2  0 16:30 ?        00:00:00 [kintegrityd]
root         107       2  0 16:30 ?        00:00:00 [kblockd]
root         108       2  0 16:30 ?        00:00:00 [blkcg_punt_bio]
root         109       2  0 16:30 ?        00:00:00 [kconsole]
root         110       2  0 16:30 ?        00:00:00 [tpm_dev_wq]
root         111       2  0 16:30 ?        00:00:00 [devfreq_wq]
root         112       2  0 16:30 ?        00:00:00 [watchdogd]
root         113       2  0 16:30 ?        00:00:01 [kworker/u16:1-devfreq_wq]
root         114       2  0 16:30 ?        00:00:00 [rpciod]
root         115       2  0 16:30 ?        00:00:00 [kworker/5:1H+kblockd]
root         116       2  0 16:30 ?        00:00:00 [kworker/u17:0-kbase_pm_poweroff_wait]
root         117       2  0 16:30 ?        00:00:00 [xprtiod]
root         118       2  0 16:30 ?        00:00:00 [cfg80211]
root         119       2  0 16:30 ?        00:00:00 [irq/115-rockchi]
root         139       2  0 16:30 ?        00:00:00 [kswapd0]
root         140       2  0 16:30 ?        00:00:00 [nfsiod]
root         141       2  0 16:30 ?        00:00:00 [kworker/4:1H-kblockd]
root         143       2  0 16:30 ?        00:00:00 [kthrotld]
root         144       2  0 16:30 ?        00:00:00 [irq/24-rockchip]
root         145       2  0 16:30 ?        00:00:00 [irq/25-rockchip]
root         146       2  0 16:30 ?        00:00:00 [kworker/6:2-events]
root         147       2  0 16:30 ?        00:00:00 [irq/26-rockchip]
root         148       2  0 16:30 ?        00:00:00 [irq/126-rockchi]
root         153       2  0 16:30 ?        00:00:00 [rk_pcie_hot_rst]
root         154       2  0 16:30 ?        00:00:00 [rk_pcie_hot_rst]
root         155       2  0 16:30 ?        00:00:00 [queue_work0]
root         156       2  0 16:30 ?        00:00:00 [queue_work1]
root         157       2  0 16:30 ?        00:00:00 [queue_work2]
root         158       2  0 16:30 ?        00:00:00 [queue_work3]
root         159       2  0 16:30 ?        00:00:00 [queue_work4]
root         160       2  0 16:30 ?        00:00:00 [queue_work5]
root         161       2  0 16:30 ?        00:00:00 [queue_work6]
root         162       2  0 16:30 ?        00:00:00 [queue_work7]
root         163       2  0 16:30 ?        00:00:00 [queue_work8]
root         164       2  0 16:30 ?        00:00:00 [queue_work9]
root         165       2  0 16:30 ?        00:00:00 [queue_work10]
root         166       2  0 16:30 ?        00:00:00 [queue_work11]
root         167       2  0 16:30 ?        00:00:00 [irq/34-fdb50400]
root         168       2  0 16:30 ?        00:00:00 [irq/33-fdb50000]
root         169       2  0 16:30 ?        00:00:00 [irq/41-fdba0000]
root         170       2  0 16:30 ?        00:00:00 [irq/43-fdba4000]
root         171       2  0 16:30 ?        00:00:00 [irq/45-fdba8000]
root         172       2  0 16:30 ?        00:00:00 [irq/47-fdbac000]
root         173       2  0 16:30 ?        00:00:00 [irq/49-fdbb0000]
root         174       2  0 16:30 ?        00:00:00 [irq/39-fdb90000]
root         175       2  0 16:30 ?        00:00:00 [irq/50-fdbd0000]
root         176       2  0 16:30 ?        00:00:00 [irq/53-fdbe0000]
root         177       2  0 16:30 ?        00:00:00 [irq/146-av1d-ma]
root         179       2  0 16:30 ?        00:00:00 [hwrng]
root         180       2  0 16:30 ?        00:00:00 [irq/82-fde50000]
root         181       2  0 16:30 ?        00:00:00 [hpd_queue]
root         182       2  0 16:30 ?        00:00:00 [irq/87-dw-hdmi-]
root         183       2  0 16:30 ?        00:00:00 [irq/83-fde80000]
root         184       2  0 16:30 ?        00:00:00 [irq/85-fde80000]
root         185       2  0 16:30 ?        00:00:00 [hpd_queue]
root         186       2  0 16:30 ?        00:00:00 [irq/133-dw-hdmi]
root         187       2  0 16:30 ?        00:00:00 [irq/129-fdea000]
root         188       2  0 16:30 ?        00:00:00 [irq/131-fdea000]
root         189       2  0 16:30 ?        00:00:00 [card0-crtc0]
root         190       2  0 16:30 ?        00:00:00 [card0-crtc1]
root         191       2  0 16:30 ?        00:00:00 [card0-crtc2]
root         192       2  0 16:30 ?        00:00:00 [card0-crtc3]
root         194       2  0 16:30 ?        00:00:00 [hdcp_queue]
root         195       2  0 16:30 ?        00:00:00 [hdcp_queue]
root         196       2  0 16:30 ?        00:00:00 [cec-dw_hdmi_qp]
root         197       2  0 16:30 ?        00:00:00 [irq/84-dw-hdmi-]
root         198       2  0 16:30 ?        00:00:00 [cec-dw_hdmi_qp]
root         199       2  0 16:30 ?        00:00:00 [irq/130-dw-hdmi]
root         200       2  0 16:30 ?        00:00:00 [dmabuf-deferred]
root         201       2  0 16:30 ?        00:00:00 [nvme-wq]
root         202       2  0 16:30 ?        00:00:00 [nvme-reset-wq]
root         203       2  0 16:30 ?        00:00:00 [nvme-delete-wq]
root         204       2  0 16:30 ?        00:00:00 [spi2]
root         205       2  0 16:30 ?        00:00:00 [irq/149-rk806]
root         206       2  0 16:30 ?        00:00:00 [kworker/5:2-events]
root         208       2  0 16:30 ?        00:00:00 [libertastf]
root         210       2  0 16:30 ?        00:00:00 [kworker/4:3-events_freezable]
root         212       2  0 16:30 ?        00:00:00 [uas]
root         213       2  0 16:30 ?        00:00:00 [6-0022]
root         214       2  0 16:30 ?        00:00:00 [6-0022]
root         215       2  0 16:30 ?        00:00:00 [6-0022]
root         216       2  0 16:30 ?        00:00:00 [irq/174-hym8563]
root         222       2  0 16:30 ?        00:00:00 [kworker/u16:2-devfreq_wq]
root         224       2  0 16:30 ?        00:00:00 [sdhci]
root         225       2  0 16:30 ?        00:00:00 [irq/100-mmc1]
root         226       2  0 16:30 ?        00:00:00 [cryptodev_queue]
root         232       2  0 16:30 ?        00:00:00 [irq/176-headset]
root         233       2  0 16:30 ?        00:00:00 [kstrp]
root         236       2  0 16:30 ?        00:00:00 [irq/36-rga3_cor]
root         237       2  0 16:30 ?        00:00:00 [irq/37-rga3_cor]
root         238       2  0 16:30 ?        00:00:00 [irq/38-rga2]
root         239       2  0 16:30 ?        00:00:00 [gpu_power_off_w]
root         240       2  0 16:30 ?        00:00:00 [free_pages_work]
root         242       2  0 16:30 ?        00:00:00 [rknpu_power_off]
root         247       2  0 16:30 ?        00:00:00 [kworker/3:1H-kblockd]
root         248       2  0 16:30 ?        00:00:00 [mmc_complete]
root         249       2  0 16:30 ?        00:00:00 [kworker/7:1H-kblockd]
root         307       2  0 16:30 ?        00:00:00 [kworker/6:1H-events_highpri]
root         311       2  0 16:30 ?        00:00:00 [kworker/2:1H-kblockd]
root         312       2  0 16:30 ?        00:00:00 [kworker/1:1H-kblockd]
root         314       2  0 16:30 ?        00:00:00 [kworker/3:2H-events_highpri]
root         316       2  0 16:30 ?        00:00:00 [kworker/5:2H-events_highpri]
root         317       2  0 16:30 ?        00:00:00 [kworker/7:2H]
root         355       2  0 16:31 ?        00:00:00 [jbd2/mmcblk0p2-]
root         356       2  0 16:31 ?        00:00:00 [ext4-rsv-conver]
root         369       2  0 16:31 ?        00:00:01 [kworker/3:3-events]
root         372       2  0 16:31 ?        00:00:00 [ipv6_addrconf]
root         426       2  0 16:31 ?        00:00:00 [kworker/7:3-events]
root         438       1  0 16:31 ?        00:00:00 /lib/systemd/systemd-udevd
root         459       2  0 16:31 ?        00:00:00 [kworker/4:2H]
root         477       2  0 16:31 ?        00:00:00 [kworker/6:2H]
root         741       2  0 16:31 ?        00:00:00 [ext4-rsv-conver]
root         833       1  0 16:31 ?        00:00:00 /bin/sh -e /usr/bin/usbdevice start
root         835     833  0 16:31 ?        00:00:00 /usr/bin/adbd
root         889       1  0 16:31 ?        00:00:00 /lib/systemd/systemd-journald
root         892       1  0 16:31 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1 -w 1024
systemd+     893       1  0 16:31 ?        00:00:00 /lib/systemd/systemd-resolved
root         916       1  0 16:31 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         925       1  0 16:31 ?        00:00:00 /usr/sbin/cron -f
root         926       1  0 16:31 ?        00:00:00 /usr/sbin/cupsd -l
message+     927       1  0 16:31 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         929       1  0 16:31 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
syslog       939       1  0 16:31 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         942       1  0 16:31 ?        00:00:00 /usr/sbin/smartd -n
root         944       1  0 16:31 ?        00:00:00 /lib/systemd/systemd-logind
root         947       1  0 16:31 ?        00:00:00 /usr/lib/udisks2/udisksd
root         948       1  0 16:31 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        1391       1  0 16:31 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        1505       1  0 16:31 ?        00:00:00 /usr/lib/ipsec/starter --daemon charon --nofork
root        1507       1  0 16:31 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1518       1  0 16:31 ?        00:00:01 /usr/bin/containerd
root        1529       1  0 16:31 ?        00:00:00 /usr/sbin/lightdm
_chrony     1532       1  0 16:31 ?        00:00:00 /usr/sbin/chronyd -F 0
root        1563       1  0 16:31 ?        00:00:00 /usr/sbin/xrdp-sesman
root        1565       1  0 16:31 ?        00:00:00 /usr/sbin/xl2tpd
root        1579       1  0 16:31 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
kernoops    1580       1  0 16:31 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1582       1  0 16:31 ?        00:00:00 /usr/sbin/kerneloops
nx          1583       1  0 16:31 ?        00:00:11 /usr/NX/bin/nxserver.bin --daemon
root        1584    1505  0 16:31 ?        00:00:00 /usr/lib/ipsec/charon
xrdp        1586       1  0 16:31 ?        00:00:00 /usr/sbin/xrdp
root        1604       2  0 16:31 ?        00:00:03 [RTW_CMD_THREAD]
root        1617    1529  0 16:31 tty7     00:00:05 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
